id,year,funder,program,url,title,author,link,discipline,status
cooper_endymion_2015,2015,European Commission,"Marie Skłodowska-Curie Individual Fellowship",https://expanding-open-grants.github.io/ogrants//ogrants/grants/cooper_endymion_2015.html,"FRAXIFAM: Reconstructing gene family evolution in the ash genus (Fraxinus)","Endymion Cooper",'https://doi.org/10.6084/m9.figshare.1456169',"",funded
cranston_karen_2011,2011,NSF,"AVATOL",https://expanding-open-grants.github.io/ogrants//ogrants/grants/cranston_karen_2011.html,"Automated and community synthesis of the tree of life","Karen Cranston",'http://opentree.wikispaces.com/Grant+Proposal',"",funded
daniel_himmelstein_2018,2018,Alfred P. Sloan Foundation,"Technology",https://expanding-open-grants.github.io/ogrants//ogrants/grants/daniel_himmelstein_2018.html,"To support continued development of Manubot, a git-native authoring tool for scientific manuscripts","Daniel S. Himmelstein",'["https://doi.org/10.6084/m9.figshare.9931367", "https://ndownloader.figshare.com/files/17871827", "https://ndownloader.figshare.com/files/17871824", "https://ndownloader.figshare.com/files/17871830", "https://ndownloader.figshare.com/files/17871833"]',"scholarly publishing",funded
das_undurti_2020,2020,,"",https://expanding-open-grants.github.io/ogrants//ogrants/grants/das_undurti_2020.html,"Road map to develop glioma drug","Undurti N Das",'["https://353a23c500dde3b2ad58-c49fe7e7355d384845270f4a7a0a7aa1.ssl.cf2.rackcdn.com/00d015c9-d650-44b3-8937-449462c834d4/Road%20map%20to%20develop%20glioma%20drug-new.pdf"]',"Oncology",unfunded
dasari_sriswaroop_2016,2016,,"",https://expanding-open-grants.github.io/ogrants//ogrants/grants/dasari_sriswaroop_2016.html,"Studying the effect of Ruthenium on High Temperature Mechanical Properties of Nickel Based Superalloys and Determining the Universal Behavior of Ruthenium at Atomic Scale with respect to alloying elements, Stress and Temperature","Sriswaroop Dasari",'https://doi.org/10.3897/rio.2.e10714',"",unfunded
dawe_kelly_2009,2009,NSF,"Plant Genome",https://expanding-open-grants.github.io/ogrants//ogrants/grants/dawe_kelly_2009.html,"Functional Genomics of Maize Centromeres","Kelly Dawe, Jeff Ross-Ibarra, James Birchler, Jiming Jiang, Wayne Parrott, Gernot Presting",'https://github.com/RILAB/statements/blob/master/grants/Dawe_NSF_PlantGenome_2009.pdf',"",funded
dewhurst_stephen_2010,2010,National Institutes of Health (US),"R21/R33",https://expanding-open-grants.github.io/ogrants//ogrants/grants/dewhurst_stephen_2010.html,"The semen enhancer of HIV infection as a novel microbicide target","Stephen Dewhurst",'["https://www.niaid.nih.gov/sites/default/files/dewhurstfull.pdf", "https://www.niaid.nih.gov/sites/default/files/dewhurstss.pdf"]',"",funded
dlugosch_katrina_2017,2017,NSF,"CAREER",https://expanding-open-grants.github.io/ogrants//ogrants/grants/dlugosch_katrina_2017.html,"CAREER: Rapid evolution of an invasive plant:  the role of microbial interactions","Katrina M. Dlugosch",'["https://353a23c500dde3b2ad58-c49fe7e7355d384845270f4a7a0a7aa1.ssl.cf2.rackcdn.com/5762118d-2456-4129-9811-f236ddf5c925/Dlugosch_CAREER_2017_SummaryDescription.pdf"]',"ecology, evolution, plant science",funded
domashevskiy_artem_2016,2016,National Institutes of Health (US),"R15",https://expanding-open-grants.github.io/ogrants//ogrants/grants/domashevskiy_artem_2016.html,"Development of a Novel Inhibitor of Ricin: A Potential Therapeutic Lead against Deadly Shiga and Related Toxins","Artem Domashevskiy",'["https://www.niaid.nih.gov/sites/default/files/R15-Artem-Domashevskiy-Application.pdf", "https://www.niaid.nih.gov/sites/default/files/R15-Artem-Domashevskiy-Summary-Statement.pdf"]',"",funded
doran_michael_2016,2016,Australian Research Council (ARC),"Discovery Project Grant",https://expanding-open-grants.github.io/ogrants//ogrants/grants/doran_michael_2016.html,"Can video improve grant review quality and lead to more reliable ranking?","Michael Doran",'https://doi.org/10.3897/rio.3.e11931',"",unfunded
dow_steven_2010,2010,National Institutes of Health (US),"R21",https://expanding-open-grants.github.io/ogrants//ogrants/grants/dow_steven_2010.html,"Mechanisms of enteric Burkholderia psuedomallei infection","Steven W. Dow",'["https://www.niaid.nih.gov/sites/default/files/dowfull.pdf", "https://www.niaid.nih.gov/sites/default/files/dowss.pdf"]',"",funded
drabeck_danielle_2013,2013,NSF,"Graduate Research Fellowship Program",https://expanding-open-grants.github.io/ogrants//ogrants/grants/drabeck_danielle_2013.html,"NSF Graduate Research Fellowship","Danielle H. Drabeck",'["https://github.com/ybrandvain/GRFP/blob/master/Ddrabeck_GRFP_ResearchPlan_2013.pdf", "https://github.com/ybrandvain/GRFP/blob/master/Ddrabeck_GRFP_PersonalStatement_2013.pdf", "https://github.com/ybrandvain/GRFP/blob/master/Ddrabeck_GRFP_Previous%20Experience_2013.pdf", "https://github.com/ybrandvain/GRFP/blob/master/Ddrabeck_GRFP_Review_2013.pdf"]',"Evolution",unfunded
durvasula_arun_2018,2018,NSF,"Graduate Research Fellowship Program",https://expanding-open-grants.github.io/ogrants//ogrants/grants/durvasula_arun_2018.html,"Elucidating local archaic ancestry using machine learning","Arun Durvasula",'["https://github.com/ybrandvain/GRFP/blob/master/Arun_Durvasula_Research_Proposal_2018.pdf", "https://github.com/ybrandvain/GRFP/blob/master/Arun_Durvasula_Personal_Statement_2018.pdf", "https://github.com/ybrandvain/GRFP/blob/master/Arun_Durvasula_NSF_reviews.pdf"]',"Genomics",funded
elsabry_elhassan_2017,2017,,"",https://expanding-open-grants.github.io/ogrants//ogrants/grants/elsabry_elhassan_2017.html,"Mapping Open Access Societal Impact","ElHassan ElSabry",'https://doi.org/10.3897/rio.3.e11743',"",unfunded
ernest_morgan_2013,2013,NSF,"Population & Community Ecology",https://expanding-open-grants.github.io/ogrants//ogrants/grants/ernest_morgan_2013.html,"Reversing long-term experiments to understand regime shifts","Morgan Ernest",'https://ndownloader.figshare.com/files/1694745',"",funded
evans_michelle_2014,2014,NSF,"Graduate Research Fellowship Program",https://expanding-open-grants.github.io/ogrants//ogrants/grants/evans_michelle_2014.html,"Incorporating time into the study of anthropogenic land use and disease","Michelle V. Evans",'https://doi.org/10.6084/m9.figshare.5217382',"biological sciences",not funded
evans_michelle_2015,2015,NSF,"Graduate Research Fellowship Program",https://expanding-open-grants.github.io/ogrants//ogrants/grants/evans_michelle_2015.html,"Vector dynamics and disease transmission across an urban gradient","Michelle V. Evans",'https://doi.org/10.6084/m9.figshare.5217373',"biological sciences",funded
fan_jean_2013,2013,NSF,"Graduate Research Fellowship Program",https://expanding-open-grants.github.io/ogrants//ogrants/grants/fan_jean_2013.html,"A Bayesian Network Approach for Assessing Factors in Complex Disease Etiology","Jean Fan",'https://jef.works/blog/2017/10/15/NSF-GRFP-application-tips-and-example/',"bioinformatics",funded
fan_jean_2015,2015,NIH,"F31",https://expanding-open-grants.github.io/ogrants//ogrants/grants/fan_jean_2015.html,"Computational Analysis of Subclonal Evolution in Chronic Lymphocytic Leukemia","Jean Fan",'https://jef.works/blog/2017/10/19/NIH-F-series-grant-tips-and-example/',"bioinformatics",funded
faubion_william_2015,2015,National Institutes of Health (US),"R01",https://expanding-open-grants.github.io/ogrants//ogrants/grants/faubion_william_2015.html,"Inflammatory cascades disrupt Treg function through epigenetic mechanisms","William Faubion",'["https://www.niaid.nih.gov/sites/default/files/R01-Faubion-app.pdf", "https://www.niaid.nih.gov/sites/default/files/R01-Faubion-sum.pdf"]',"",funded
flores_alejandro_2014,2014,NSF,"CAREER",https://expanding-open-grants.github.io/ogrants//ogrants/grants/flores_alejandro_2014.html,"CAREER: Citizens, Conservation, and Climate: Research and Education for Climate Literacy in Managed Landscapes","Alejandro N. Flores",'https://doi.org/10.5281/zenodo.3236624',"Hydrologic Science",funded
fong_timothy_2013,2013,National Institutes of Health (US),"R41, R42, R43, R44",https://expanding-open-grants.github.io/ogrants//ogrants/grants/fong_timothy_2013.html,"Novel indication for myeloid progenitor use: Induction of tolerance","Timothy C. Fong",'https://www.niaid.nih.gov/sites/default/files/1r41ai10801601_fong_0.pdf',"",funded
fournier_auriel_2014,2014,Arkansas Audubon Society,"Student Research Awards",https://expanding-open-grants.github.io/ogrants//ogrants/grants/fournier_auriel_2014.html,"Migratory Stopover Timing, Survival and Habitat Use of Fall Migrating Sora in Managed Wetlands in Missouri","Auriel M.V. Fournier",'https://doi.org/10.6084/m9.figshare.5215966.v1',"Ecology",funded
fournier_auriel_2015a,2015,Garden Club of America,"The Frances M. Peacock Scholarship for Native Bird Habitat",https://expanding-open-grants.github.io/ogrants//ogrants/grants/fournier_auriel_2015a.html,"THE USE OF STABLE ISOTOPES, eBIRD AND SPECIES DISTRIBUTION MODELS TO ASSESS MIGRATORY CONNECTIVITY OF FALL MIGRATING RAILS","Auriel M.V. Fournier",'https://doi.org/10.6084/m9.figshare.5215963',"Ecology",funded
fournier_auriel_2015b,2015,Eastern Bird Banding Assocation,"Student Research Grant",https://expanding-open-grants.github.io/ogrants//ogrants/grants/fournier_auriel_2015b.html,"USING STABLE ISOTOPES & eBIRD TO ASSESS MIGRATORY CONNECTIVITY OF FALL MIGRATING RAILS","Auriel M.V. Fournier",'https://doi.org/10.6084/m9.figshare.5216005.v1',"Ecology",unfunded
fournier_auriel_2015c,2015,NSF,"EAPSI",https://expanding-open-grants.github.io/ogrants//ogrants/grants/fournier_auriel_2015c.html,"Timing is everything: Identifying peak Rallidae call rate in southeast Australia","Auriel M.V. Fournier",'https://doi.org/10.6084/m9.figshare.5216020.v1',"ecology",unfunded
franz_nico_2016,2016,NSF,"Advances in Biological Informatics (ABI)",https://expanding-open-grants.github.io/ogrants//ogrants/grants/franz_nico_2016.html,"Controlling the taxonomic variable: Taxonomic concept resolution for a southeastern United States herbarium portal","Nico Franz",'https://doi.org/10.3897/rio.2.e10610',"",
galarza_jose_2013,2013,National Institutes of Health (US),"R41, R42, R43, R44",https://expanding-open-grants.github.io/ogrants//ogrants/grants/galarza_jose_2013.html,"Broadly protective (universal) virus-like particle (VLP) based influenza vaccine","Jose M. Galarza",'https://www.niaid.nih.gov/sites/default/files/1r43ai106145-01a1_galarza.pdf',"",funded
gandhi_monica_2017,2017,National Institutes of Health (US),"R01",https://expanding-open-grants.github.io/ogrants//ogrants/grants/gandhi_monica_2017.html,"Hair Extensions: Using Hair Levels to Interpret Adherence, Effectiveness and Pharmacokinetics with Real-World Oral PrEP, the Vaginal Ring, and Injectables","Monica Gandhi",'["https://www.niaid.nih.gov/sites/default/files/2-R01-AI098472-06_Gandhi_Application.pdf", "https://www.niaid.nih.gov/sites/default/files/2-R01-AI098472-06_Ganhdi_Summary.pdf"]',"",funded
garrett_patricia_2014,2014,National Institutes of Health (US),"R41, R42, R43, R44",https://expanding-open-grants.github.io/ogrants//ogrants/grants/garrett_patricia_2014.html,"Rapid Test for Recent HIV Infection","Patricia Garrett",'https://www.niaid.nih.gov/sites/default/files/2r44ai098567-03_garrett.pdf',"",funded
gawne_l_2014,2014,Endangered Language Documentation Project,"Individual Postdoctoral Fellowship",https://expanding-open-grants.github.io/ogrants//ogrants/grants/gawne_l_2014.html,"Documenting and describing Kagate, an endangered Tibeto-Burman language of Nepal","Lauren Gawne",'https://elar.soas.ac.uk/Record/MPI1068122',"linguistics",funded
gordon_vernita_2017,2017,National Institutes of Health (US),"R01",https://expanding-open-grants.github.io/ogrants//ogrants/grants/gordon_vernita_2017.html,"Assessing the roles of biofilm structure and mechanics in pathogenic, persistent infections","Vernita Gordon",'["https://www.niaid.nih.gov/sites/default/files/1-R01-AI121500-01A1_Gordon_Application.pdf", "https://www.niaid.nih.gov/sites/default/files/1-R01-AI121500-01A1_Gordon_Summary-Statement.pdf"]',"",funded
graziotin_daniel_2016,2016,Alexander von Humboldt-Foundation,"postdoctoral fellowships",https://expanding-open-grants.github.io/ogrants//ogrants/grants/graziotin_daniel_2016.html,"Software quality information needs","Daniel Graziotin",'https://doi.org/10.3897/rio.2.e8865',"",funded
greene_casey_2017,2017,Chan Zuckerberg Initiative,"Collaborative Computational Tools for the Human Cell Atlas",https://expanding-open-grants.github.io/ogrants//ogrants/grants/greene_casey_2017.html,"Genome-wide hypothesis generation for single-cell expression via latent spaces of deep neural networks","Casey S. Greene",'https://github.com/greenelab/czi-rfa/blob/master/proposal.md',"genomics",TBD
hamlington_peter_2019,2019,NSF,"Division of Ocean Sciences",https://expanding-open-grants.github.io/ogrants//ogrants/grants/hamlington_peter_2019.html,"Collaborative Research: Submesoscale-Resolving Large Eddy Simulations Using Reduced Biogeochemical Models","Peter E. Hamlington, Nicole S. Lovenduski, Kyle E. Niemeyer",'["https://doi.org/10.5281/zenodo.3460972"]',"oceanography",funded
hammond_chad_2016,2016,Canadian Institutes of Health Research (CIHR),"annual competition for postdoctoral fellowships",https://expanding-open-grants.github.io/ogrants//ogrants/grants/hammond_chad_2016.html,"Widening the circle of care: An arts-based, participatory dialogue with stakeholders on cancer care for First Nations, Inuit, and Métis peoples in Ontario, Canada","Chad Hammond",'https://doi.org/10.3897/rio.2.e8615',"",funded
harte_ted_2008,2008,NSF,"Dissertation Improvement Grant (DDIG)",https://expanding-open-grants.github.io/ogrants//ogrants/grants/harte_ted_2008.html,"Evolution under simulated climate change in response to trophic shifts","Ted Harte",'https://doi.org/10.6084/m9.figshare.95607',"",funded
harte_ted_2012,2008,National Center for Ecological Analysis and Synthesis,"Working Group",https://expanding-open-grants.github.io/ogrants//ogrants/grants/harte_ted_2012.html,"Evolution under simulated climate change in response to trophic shifts","Ted Harte and Scott Chamberlain",'https://doi.org/10.6084/m9.figshare.97215',"",unfunded
hartgerink_chris_2015,2015,Dutch Fulbright Center,"Fulbright Scholarships",https://expanding-open-grants.github.io/ogrants//ogrants/grants/hartgerink_chris_2015.html,"Problematic trial detection in ClinicalTrials.gov","Chris HJ Hartgerink",'https://doi.org/10.3897/rio.1.e7462',"",
hartgerink_chris_2016,2016,National Institutes of Health, Department of Health and Human Services (US),"IR-ORI-16-001 by the Office of Research Integrity",https://expanding-open-grants.github.io/ogrants//ogrants/grants/hartgerink_chris_2016.html,"The value of statistical tools to detect data fabrication","Chris HJ Hartgerink",'https://doi.org/10.3897/rio.1.e7462',"",
